"","participant","market_center","date","ticker","order_type","order_size","total_orders","total_shrs","cancelled_shrs","mc_exec_shrs","away_exec_shrs","shrs_0to9sec","shrs_10to29sec","shrs_30to59sec","shrs_60to299sec","shrs_5to30min","avg_realzd_spread","avg_effec_spread","px_improved_shrs","px_improved_avg_amt","px_improved_avg_secs","at_quote_shrs","at_quote_avg_secs","outside_quote_shrs","outside_quote_avg_amt","outside_quote_avg_sec","in_sp500","in_r1000","on_nyse","on_nasdaq","on_amex","mcaway_exec_shrs","net_pi_numerator","net_pi_mcaway","avg_quoted_spread_mcaway","effective_over_quoted_mcaway","eoq_wgt"
"146","T","TCDRG","202212","ADNT","mkt_ordr","100-499",85,17177,0,17177,0,17177,0,0,0,0,0.0352,0.0132,16823,0.0145,0,53,0,301,0.0097,0,FALSE,FALSE,FALSE,FALSE,FALSE,17177,24101.38,1.40311928741922,4.12623857483845,0.319903945459984,70876.4
"147","T","TCDRG","202212","ADNWW","mkt_ordr","100-499",12,2179,0,2179,0,2179,0,0,0,0,0.0144,0.0126,1636,6e-04,0,543,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,2179,98.16,0.0450481872418541,1.35009637448371,0.933266708816871,2941.86
"148","T","TCDRG","202212","ADOCW","mkt_ordr","100-499",2,400,0,400,0,400,0,0,0,0,0.0127,0.0123,100,1e-04,0,300,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,400,1,0.0025,1.235,0.995951417004049,494
"149","T","TCDRG","202212","ADP","mkt_ordr","100-499",865,160294,0,160294,0,160294,0,0,0,0,0.0226,0.043,156447,0.0727,0,2436,0,1411,0.025,0,TRUE,TRUE,FALSE,TRUE,FALSE,160294,1133842.19,7.07351610166319,18.4470322033264,0.233099826172831,2956948.58
"150","T","TCDRG","202212","ADPT","mkt_ordr","100-499",314,63761,0,63761,0,63761,0,0,0,0,-0.0046,0.0076,61320,0.0071,0,1686,0,755,0.0073,0,FALSE,FALSE,TRUE,FALSE,FALSE,63761,42986.05,0.674174652216872,2.10834930443374,0.360471577646911,134430.46
"151","T","TCDRG","202212","ADPV","mkt_ordr","100-499",3,736,0,736,0,736,0,0,0,0,0.0453,0.0453,580,0.0143,0,156,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,736,829.4,1.12690217391304,6.78380434782609,0.667766900065694,4992.88
"152","T","TCDRG","202212","ADRA","mkt_ordr","100-499",3,900,0,900,0,900,0,0,0,0,0.0224,0.0224,900,0.0093,0,0,0,0,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,900,837,0.93,4.1,0.546341463414634,3690
"153","T","TCDRG","202212","ADRE","mkt_ordr","100-499",36,7840,0,7840,0,7840,0,0,0,0,0.0278,0.0278,7392,0.077,0,389,0,59,0.01,0,FALSE,FALSE,FALSE,TRUE,FALSE,7840,56859.4,7.25247448979592,17.2849489795918,0.160833567011526,135514
"154","T","TCDRG","202212","ADSE","mkt_ordr","100-499",105,13532,0,13532,0,13532,0,0,0,0,0.1243,0.129,12832,0.0131,0,700,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,13532,16809.92,1.2422347029264,15.3844694058528,0.838507956283002,208182.64
"155","T","TCDRG","202212","ADSK","mkt_ordr","100-499",1076,201964,0,201964,0,201964,0,0,0,0,-0.03,0.0098,199383,0.1035,0,2422,0,159,0.0271,0,TRUE,TRUE,FALSE,TRUE,FALSE,201964,2063183.16,10.2155986215365,21.411197243073,0.0457704437951059,4324291.04
"156","T","TCDRG","202212","ADT","mkt_ordr","100-499",201,40431,0,40431,0,40431,0,0,0,0,0.0017,0.0018,40131,0.0041,0,300,0,0,0,0,TRUE,TRUE,TRUE,FALSE,FALSE,40431,16453.71,0.406957779921347,0.993915559842695,0.181101903695409,40185
"157","T","TCDRG","202212","ADTH","mkt_ordr","100-499",22,4757,0,4757,0,4757,0,0,0,0,0.0121,0.0171,4757,0.0045,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,4757,2140.65,0.45,2.61,0.655172413793103,12415.77
"158","T","TCDRG","202212","ADTN","mkt_ordr","100-499",82,16842,0,16842,0,16842,0,0,0,0,-0.0057,0.0067,16303,0.0129,0,478,0,61,0.01,0,FALSE,FALSE,FALSE,TRUE,FALSE,16842,20969.87,1.24509381308633,3.16018762617266,0.212012728121287,53223.88
"159","T","TCDRG","202212","ADTX","mkt_ordr","100-499",72,14190,0,14190,0,14190,0,0,0,0,0.0167,0.0203,13210,0.0046,0,980,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,14190,6076.6,0.428231148696265,2.88646229739253,0.703283047152145,40958.9
"160","T","TCDRG","202212","ADUS","mkt_ordr","100-499",39,7325,0,7325,0,7325,0,0,0,0,0.3991,0.3418,7325,0.1249,0,0,0,0,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,7325,91489.25,12.49,59.16,0.577755240027045,433347
"161","T","TCDRG","202212","ADV","mkt_ordr","100-499",70,16989,0,16989,0,16989,0,0,0,0,-0.0021,0.0034,16889,0.0033,0,100,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,16989,5573.37,0.328057566660781,0.996115133321561,0.3413260060273,16923
"162","T","TCDRG","202212","ADVM","mkt_ordr","100-499",59,12378,0,12378,0,12378,0,0,0,0,0.008,0.0086,11393,8e-04,0,985,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,12378,911.44,0.0736338665374051,1.00726773307481,0.853794846951707,12467.96
"163","T","TCDRG","202212","ADX","mkt_ordr","100-499",320,76817,0,76817,0,76817,0,0,0,0,0.0087,0.0098,66406,0.0058,0,9901,0,510,0.01,0,FALSE,FALSE,TRUE,FALSE,FALSE,76817,38005.48,0.49475350508351,1.96950701016702,0.497586449269299,151291.62
"164","T","TCDRG","202212","ADXN","mkt_ordr","100-499",20,4040,0,4040,0,4040,0,0,0,0,0.0225,0.0255,2959,9e-04,0,1081,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,4040,266.31,0.0659183168316832,2.68183663366337,0.950840915509727,10834.62
"165","T","TCDRG","202212","AE","mkt_ordr","100-499",20,3584,0,3584,0,3584,0,0,0,0,0.4657,0.5334,3339,0.1258,0,245,0,0,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,3584,42004.62,11.7200390625,76.780078125,0.694711457745081,275179.8
"166","T","TCDRG","202212","AEAC","mkt_ordr","100-499",1,100,0,100,0,100,0,0,0,0,0.0154,0.0154,100,0.0023,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,100,23,0.23,2,0.77,200
"167","T","TCDRG","202212","AEE","mkt_ordr","100-499",268,51474,0,51474,0,51474,0,0,0,0,0.0083,0.0133,50378,0.0157,0,759,0,337,0.02,0,TRUE,TRUE,TRUE,FALSE,FALSE,51474,78419.46,1.52347709523254,4.37695419046509,0.303864272305458,225299.34
