TXG
MMM
ABT
ABBV
ACHC
ACN
ATVI
AYI
ADM
ADBE
ADP
ADT
AAP
WMS
ACM
AES
AFRM
AFL
AGCO
A
AGL
AGNC
AIG
AL
APD
ABNB
AKAM
ALK
ALB
ACI
AA
ARE
ALGN
ALLE
ALGM
LNT
ALSN
ALL
ALLY
ALNY
GOOGL
GOOG
AYX
ATUS
MO
AMZN
AMC
AMCR
AMD
DOX
AMED
AEE
AAL
AEP
AXP
AFG
AMH
AMT
AWK
COLD
AMP
ABC
AME
AMG
AMGN
APH
ADI
NLY
ANSS
AM
AR
AON
APA
AIRC
APO
AAPL
AMAT
APP
ATR
APTV
ARMK
ACGL
AMBP
ARES
ANET
AWI
ARW
AJG
ASH
AZPN
AIZ
AGO
T
TEAM
ATO
ADSK
AN
AZO
AVB
AGR
AVTR
AVY
CAR
AVT
AXTA
AXS
AXON
AZEK
AZTA
BKR
BALL
BAC
BOH
OZK
BBWI
BAX
BDX
BSY
WRB
BRK.B
BERY
BBY
BILL
BIO
TECH
BIIB
BMRN
BJ
BKI
BLK
BX
HRB
SQ
OWL
BK
BA
BOKF
BKNG
BAH
BWA
SAM
BXP
BSX
BYD
BFAM
BHF
BMY
BRX
AVGO
BR
BEPC
BRO
BF.A
BF.B
BRKR
BC
BLDR
BG
BURL
BWXT
CHRW
CABO
CACI
CDNS
CZR
CPT
CPB
COF
CPRI
CAH
CSL
CG
KMX
CCL
CARR
CRI
CVNA
CASY
CTLT
CAT
CBOE
CBRE
CCCS
CDW
CE
CNC
CNP
CDAY
CERT
CF
CHPT
CRL
SCHW
CHTR
CHE
CC
LNG
CHK
CVX
CMG
CHH
CB
CHD
CHDN
CIEN
CI
CINF
CTAS
CRUS
CSCO
C
CFG
CLVT
CLH
CLF
CLX
NET
CME
CMS
CNA
KO
CGNX
CTSH
COHR
COIN
CL
COLB
COLM
CMCSA
CMA
CBSH
ED
CAG
CNXC
CFLT
COP
STZ
CEG
COO
CPA
CPRT
CNM
GLW
CTVA
CSGP
COST
CTRA
COTY
CUZ
CR
CXT
CACC
CRWD
CCI
CCK
CSX
CUBE
CMI
CW
CVS
DHI
DHR
DRI
DAR
DDOG
DVA
DECK
DE
DH
DELL
DAL
XRAY
DVN
DXCM
FANG
DKS
DLR
DFS
DISH
DIS
DOCU
DLB
DG
DLTR
D
DPZ
DCI
DASH
DV
DEI
DOV
DOW
DOCS
DKNG
DRVN
DBX
DTM
DTE
DUK
DNB
DD
DXC
DT
EXP
EWBC
EGP
EMN
ETN
EBAY
ECL
EIX
EW
ELAN
ESTC
EA
ESI
ELV
EMR
EHC
EHAB
ENOV
ENPH
ENTG
ETR
NVST
EVA
EOG
EPAM
EPR
EQT
EFX
EQIX
EQH
ELS
EQR
ERIE
ESAB
WTRG
ESS
EL
ETSY
EEFT
EVR
RE
EVRG
ES
EXAS
EXEL
EXC
EXPE
EXPD
EXR
XOM
FG
FFIV
FDS
FAST
FRT
FDX
FICO
FNF
FITB
FAF
FCNCA
FHB
FHN
FR
FSLR
FE
FIS
FISV
FIVE
FIVN
FLT
FND
FLO
FLS
FMC
FNB
F
FTNT
FTV
FBIN
FOXA
FOX
BEN
FCX
FRPT
FYBR
CFR
FCN
GME
GLPI
GPS
GRMN
IT
GTES
GE
GEHC
GEN
GNRC
GD
GIS
GM
G
GNTX
GPC
GILD
DNA
GPN
GFS
GLOB
GL
GMED
GDDY
GS
GGG
GWW
LOPE
GPK
GO
GH
GWRE
GXO
HAL
HBI
THG
HOG
HIG
HAS
HE
HAYW
HCA
HR
PEAK
HEI.A
HEI
JKHY
HSY
HTZ
HES
HPE
HXL
DINO
HIW
HLT
HOLX
HD
HON
HZNP
HRL
HST
HHC
HWM
HPQ
HUBB
HUBS
HPP
HUM
HBAN
HII
HUN
H
IAC
IBM
ICUI
IDA
IEX
IDXX
ITW
ILMN
INCY
INFA
IR
INGR
PODD
IART
INTC
IBKR
ICE
IFF
IP
INTU
ISRG
IVZ
INVH
IONS
IPG
IPGP
IQV
IRM
ITT
JBL
J
JAMF
JHG
JAZZ
JBHT
JBGS
JEF
JBLU
JNJ
JCI
JLL
JPM
JNPR
KBR
K
KMPR
KDP
KEY
KEYS
KRC
KMB
KIM
KMI
KEX
KKR
KLAC
KNX
KSS
KHC
KR
KD
LHX
LH
LRCX
LAMR
LW
LSTR
LVS
LSCC
LAZ
LEA
LEG
LDOS
LEN
LEN.B
LII
LESL
LBRDA
LBRDK
FWONA
FWONK
LSXMA
LSXMK
LSI
LLY
LECO
LNC
LIN
LAD
LFUS
LYV
LKQ
LMT
L
LPX
LOW
LPLA
LCID
LULU
LUMN
LITE
LYFT
LYB
MTB
M
MSGS
MANH
MAN
MRO
MPC
MRVI
MKL
MKTX
MAR
VAC
MMC
MLM
MRVL
MAS
MASI
MTZ
MBC
MA
MTCH
MAT
MKC
MCD
MCK
MDU
MPW
MDT
MRK
MRCY
META
MET
MTD
MTG
MGM
MCHP
MU
MSFT
MAA
MIDD
MRTX
MCW
MKSI
MRNA
MHK
MOH
TAP
MDLZ
MDB
MPWR
MNST
MCO
MS
MORN
MOS
MSI
MP
MSA
MSM
MSCI
NDAQ
NTRA
NFG
NATI
NNN
NSA
NCNO
NCR
NTAP
NFLX
NBIX
NFE
NEWR
NYCB
NYT
NWL
NEU
NEM
NWSA
NWS
NXST
NEE
NKE
NI
NDSN
JWN
NSC
NTRS
NOC
NCLH
NOV
NVAX
NVCR
NRG
NUE
NTNX
NVT
NVDA
NVR
OSH
ORLY
OXY
OGE
OKTA
OLPX
ODFL
ORI
OLN
OLLI
OHI
OMC
ON
OMF
OKE
OPEN
ORCL
OGN
OSK
OTIS
OVV
OC
PCAR
PKG
PACW
PLTR
PANW
PARAA
PARA
PK
PH
PAYX
PAYC
PYCR
PCTY
PYPL
PDCE
PEGA
PTON
PENN
PAG
PNR
PEN
PEP
PFGC
PRGO
WOOF
PFE
PCG
PM
PSX
PPC
PNFP
PNW
PINS
PXD
PLNT
PLTK
PLUG
PNC
PII
POOL
BPOP
POST
PPG
PPL
PINC
TROW
PRI
PFG
PCOR
PG
PGR
PLD
PB
PRU
PTC
PSA
PEG
PHM
PSTG
PVH
QGEN
QRVO
QCOM
PWR
QS
DGX
QDEL
RL
RRC
RJF
RYN
RTX
O
RRX
REG
REGN
RF
RGA
RS
RNR
RGEN
RSG
RMD
RVTY
REXR
REYN
RH
RNG
RBA
RITM
RIVN
RHI
HOOD
RBLX
RKT
ROK
ROKU
ROL
ROP
ROST
RCL
RGLD
RPRX
RPM
RXO
RYAN
R
SPGI
SAIC
CRM
SLM
SRPT
SBAC
HSIC
SLB
SNDR
SMG
SEB
SGEN
SEE
SEIC
SRE
ST
S
SCI
NOW
SHW
FOUR
SLGN
SPG
SIRI
SITE
SIX
SKX
SWKS
SLG
SMAR
AOS
SJM
SNA
SNOW
SOFI
SON
SHC
SO
SCCO
LUV
SWN
SPB
SPR
SRC
SPLK
SPOT
SSNC
SSRM
SWK
SBUX
STWD
STT
STLD
SRCL
STE
SF
SYK
SUI
RUN
SYF
SYNH
SNPS
SNV
SYY
TMUS
TTWO
TNDM
TPR
TRGP
TGT
SNX
TDOC
TDY
TFX
TPX
THC
TDC
TER
TSLA
TTEK
TXN
TPL
TXT
TMO
TFSL
THO
TWKS
TKR
TJX
TOST
TOL
BLD
TTC
TSCO
TTD
TW
TT
TDG
TRU
TNL
TRV
TREX
TRMB
TRIP
TFC
TWLO
TYL
TSN
UHAL
UHAL.B
X
UBER
UI
UDR
UGI
PATH
ULTA
RARE
UAA
UA
UNP
UAL
UPS
URI
UTHR
UWMC
UNH
U
UNVR
OLED
UHS
UNM
UPST
USB
USFD
MTN
VLO
VMI
VVV
VEEV
VTR
VRSN
VRSK
VZ
VRTX
VRT
VFC
VSAT
VTRS
VICI
VSCO
VIRT
V
VST
VTS
VMW
VNT
VNO
VOYA
VMC
WPC
WAB
WBA
WMT
WBD
WM
WAT
WSO
W
WBS
WEC
WFC
WELL
WEN
WCC
WST
WAL
WDC
WU
WLK
WRK
WE
WEX
WY
WHR
WTM
WMB
WSM
WTW
WSC
WTFC
WIX
WOLF
WWD
WDAY
WWE
WH
WYNN
XEL
XPO
XYL
YETI
YUM
ZBRA
ZG
Z
ZBH
ZION
ZTS
ZM
ZI
ZS
